avances_id,accion_id,descripcion,fecha_corte,estado,porcentaje,tipo_calificacion
1,1,"Por medio del memorando con radicado No.   20151350276053, se evidencia cumplimiento y eficaz cierre a la acción propuesta, toda vez que de acuerdo con las evidencias y soportes, se llevó a cabo la capacitación en vocería para los directivos de la entidad. Se evidenció acta de liquidación del contrato asociado, fotografías del evento y listados de asistencia.",16/12/15,terminado,100,Cumplida
2,2,Cumplida en su totalidad. Caracterización actualizada y publicada en la intranet.,16/12/15,terminado,100,Cumplida
3,3,,16/12/15,terminado,100,En Tiempo
4,4,,16/12/15,terminado,100,En Tiempo
5,5,Se genera alerta a cada uno de los abogados responsables del vencimiento por medio de la aplicación de Google APP utilizada por el IDU para el correo institucional. Se realizara seguimiento cada tres meses.,16/12/15,terminado,100,En Tiempo
6,6,Plan remitido mediante memorando DTC 20153350150703,16/12/15,terminado,100,En Tiempo
7,7,Plan remitido mediante memorando DTC 20153350150703,16/12/15,terminado,100,En Tiempo
8,8,Depende de la actualización de la plataforma estratégica,16/12/15,terminado,100,En Tiempo
9,9,Depende de la actualización de la plataforma estratégica,16/12/15,terminado,100,En Tiempo
10,10,Depende de la actualización de la plataforma estratégica,16/12/15,terminado,100,En Tiempo
11,11,N/A,16/12/15,terminado,100,En Tiempo
12,12,Se realizará una reunión mensual,16/12/15,en_progreso,50,No Cumplida
13,13,Se requiere necesariamente el soporte de la OAP para dictar la capacitación,16/12/15,en_progreso,50,No Cumplida
14,14,,16/12/15,terminado,100,En Tiempo
