avances_id,accion_id,descripcion,fecha_corte,estado,porcentaje,tipo_calificacion
1,1,"Se  acepta la solcitud de reprogramar acción para cumplir al 2016, efectuada mediante memorando STRF-20155260375823, por cuanto en el plan de mantenimiento se planteó realizar un estudio de seguridad humana que consiste en evaluar, según los criterios dados por la norma NFPA 101 (Life Safety Code) y la NSR 10, el tipo de ocupación del área, para determinar los requerimientos en cuanto a número de salidas de emergencia, capacidad y tipo de vías de evacuación, cerramientos de medios de egreso, iluminación y señalización de emergencia, de tal forma que toda la instalación cuente con niveles aceptables de seguridad humana.",30/03/16,en_progreso,,En Tiempo
2,2,Con memorando 20155160379193  del 04 de diciembre de 2015 la STRH solicito prorroga al presente punto hasta el 30 de junio de  2016. ,30/03/16,en_progreso,,En Tiempo
3,3,La OAP se encuentra evaluando una metodología que sea apta a la estructura y manejo de los procesos internos y externos de la entidad. Por lo cual se determinó necesario ampliar el plazo para lograr su cumplimiento.,30/03/16,en_progreso,,No Cumplida
4,4,"Para llevar a cabo el cumplimiento de la acción de mejoramiento propuesta, la STMST ha venido realizando seguimiento al cumplimiento de los compromisos adquiridos por parte del contratista y al control que debe ejercer la interventoría en relación con la ejecución de los porcentajes de RDC para los diferentes frentes de ejecución del contrato. 

Para cumplir con las metas totales del contrato se suscribió la Prórroga N°1 y Adición N°1, la cual fue legalizada el 3 de marzo de 2015, para atender las priorizaciones que no pudieron ser intervenidas inicialmente. De acuerdo con a las nuevas intervenciones programadas y a los estimativos realizados en relación con los tipos de actividades a ser ejecutadas, se garantizarían los porcentajes de material RDC exigido en el contrato y en los pliegos de condiciones.

Sin embargo, mediante Acta N°35 del 11 de agosto de 2015, se suscribió el Acta de Terminación del Contrato de Obra N°2128 de 2013. Teniendo en cuenta la terminación de la Fase de Ejecución y el inicio de la Fase de Liquidación y en vista de que el Interventor no presentó al IDU el Informe de Balance de la Ejecución del RCD, a la fecha los pagos mensuales de interventoría no se han tramitado por parte del IDU. Así las cosas, de acuerdo con el reporte presentado por el Contratista, se tiene que se ejecutó: “…el 27.51% que cumple con el porcentaje mínimo de ejecución del 10% establecido en la Resolución 1115 de 2012 de la Secretaría Distrital de Ambiente. Pero no se logró cumplir con el 40% del total de volumen o peso de material usado en obra a construir, establecido en los Pliegos de Condiciones de la Licitación Pública IDU-LP-SGI-019-2013…”. El cumplimiento total de la acción correctiva propuesta por el área será verificada por la OCI, una vez el Interventor radique en el IDU el Informe Final donde se evidencie las áreas y volúmenes totales ejecutados, los porcentajes, las áreas y volúmenes totales ejecutados de RCD y GCR, las justificaciones técnicas que presente el contratista para el no cumplimiento del 40% de utilización de RCD en el contrato. Por lo anterior, la acción de mejoramiento continúa en seguimiento por parte de la Oficina de Control Interno y estará sujeta a la verificación que se haga del Informe Final que presente la Interventoría. ",30/03/16,en_progreso,,No Cumplida
5,5,"La Interventoría mediante Oficio con Radicado 20155260366112 del 17 de marzo de 2015, informa al IDU sobre los correctivos realizados por el contratista a los requerimientos de las no conformidades efectuadas el 11 de marzo de 2015; se presenta un informe con los tramos intervenidos que fueron corregidos por el contratista y otros que van a ser intervenidos en los próximos días. Mediante oficio con radicado 20153661526191 del 7 de octubre de 2015, la STMST requirió nuevamente a la Interventoría para que radicara en el IDU el Informe Técnico de Seguimiento y Verificación en relacionadas con la atención de las no conformidades por parte del contratista.  De acuerdo a lo evidenciado en la respuesta dada a la OCI, la STMST informa que debido a los reiterados incumplimientos en la entrega de la información solicitada a la interventoría se estableció un plazo de tres (3) días hábiles para que radicara la información solicitada, y se le notificó que de persistir con la negativa de entregar la información requerida en el plazo establecido se tomarán las medidas administrativas a que haya lugar de acuerdo con lo establecido en el contrato de interventoría. Así las cosas la Acción Correctiva propuesta por el área a la fecha continua en seguimiento por parte de la OCI, hasta tanto sean atendidas todas las observaciones hechas por la Interventoría, y deben estar concluidas una vez finalice y sean recibidas la totalidad de las obras por parte de la Interventoría y el IDU. ",30/03/16,en_progreso,,No Cumplida
6,6,"La Interventoría mediante Oficio con Radicado 20155260366112 del 17 de marzo de 2015, informa al IDU sobre los correctivos realizados por el contratista a los requerimientos de las no conformidades efectuadas el 11 de marzo de 2015; se presenta un informe con los tramos intervenidos que fueron corregidos por el contratista y otros que van a ser intervenidos en los próximos días.  Mediante oficio con radicado 20153661526191 del 7 de octubre de 2015, la STMST requirió nuevamente a la Interventoría para que radicara en el IDU el Informe Técnico de Seguimiento y Verificación en relacionadas con la atención de las no conformidades por parte del contratista.  De acuerdo a lo evidenciado en la respuesta dada a la OCI, la STMST informa que debido a los reiterados incumplimientos en la entrega de la información solicitada a la interventoría se estableció un plazo de tres (3) días hábiles para que radicara la información solicitada, y se le notificó que de persistir con la negativa de entregar la información requerida en el plazo establecido se tomarán las medidas administrativas a que haya lugar de acuerdo con lo establecido en el contrato de interventoría. Así las cosas la Acción Correctiva propuesta por el área a la fecha continua en seguimiento por parte de la OCI, hasta tanto sean atendidas todas las observaciones hechas por la Interventoría, y deben estar concluidas una vez finalice y sean recibidas la totalidad de las obras por parte de la Interventoría y el IDU. ",30/03/16,en_progreso,,No Cumplida
7,7,"La Interventoría mediante Oficio con Radicado 20155260366112 del 17 de marzo de 2015, informa al IDU sobre los correctivos realizados por el contratista a los requerimientos de las no conformidades efectuadas el 11 de marzo de 2015; se presenta un informe con los tramos intervenidos que fueron corregidos por el contratista y otros que van a ser intervenidos en los próximos días.  Mediante oficio con radicado 20153661526191 del 7 de octubre de 2015, la STMST requirió nuevamente a la Interventoría para que radicara en el IDU el Informe Técnico de Seguimiento y Verificación en relacionadas con la atención de las no conformidades por parte del contratista. De acuerdo a lo evidenciado en la respuesta dada a la OCI, la STMST informa que debido a los reiterados incumplimientos en la entrega de la información solicitada a la interventoría se estableció un plazo de tres (3) días hábiles para que radicara la información solicitada, y se le notificó que de persistir con la negativa de entregar la información requerida en el plazo establecido se tomarán las medidas administrativas a que haya lugar de acuerdo con lo establecido en el contrato de interventoría. Así l+Q8as cosas la Acción Correctiva propuesta por el área a la fecha continua en seguimiento por parte de la OCI, hasta tanto sean atendidas todas las observaciones hechas por la Interventoría, y deben estar concluidas una vez finalice y sean recibidas la totalidad de las obras por parte de la Interventoría y el IDU. ",30/03/16,en_progreso,,No Cumplida
8,8,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir. ",30/03/16,en_progreso,,En Tiempo
9,9,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
10,10,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
11,11,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
12,12,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
13,13,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
14,14,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
15,15,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
16,16,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
17,17,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
18,18,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
19,19,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
20,20,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
21,21,"Se observa mediante consulta al Sistema de Información y Acompañamiento Contractual –SIAC, que se han liquidado los siguientes seis (6) contratos: IDU-103-2009, IDU-28-2011, IDU-36-2011, IDU-38-2011, IDU-39-2011, IDU-97-2009. De la evaluación realizada se puede concluir que la acción correctiva tiene un nivel de avance del 67% y para cerrar este hallazgo será necesario efectuar un seguimiento posterior a las acciones adelantadas por la administración para la liquidación de los contratos IDU-40-2011, IDU-43-2012, IDU-50-2012 los cuales presentan fecha final de la acción al 31 de octubre de 2015. Se considera en proceso la acción correctiva y como tal la DTD deberá implementar acciones y controles para evitar que el hallazgo se vuelva a repetir.",30/03/16,en_progreso,,En Tiempo
22,22,en_progreso,30/03/16,en_progreso,,En Tiempo
23,23,en_progreso,30/03/16,en_progreso,,En Tiempo
24,24,en_progreso,30/03/16,en_progreso,,En Tiempo
25,25,,30/03/16,en_progreso,,En Tiempo
26,26,,30/03/16,en_progreso,,En Tiempo
27,27,,30/03/16,en_progreso,,En Tiempo
28,28,,30/03/16,en_progreso,,En Tiempo
29,29,,30/03/16,en_progreso,,En Tiempo
30,30,,30/03/16,en_progreso,,En Tiempo
31,31,,30/03/16,en_progreso,,En Tiempo
32,32,"No contar con documentos que formalicen el funcionamiento de una mesa de servicios, en el que se conoscan ANS, tiempos de respuesta y otras caracteristicas",30/03/16,en_progreso,,No Cumplida
33,33,"La Dirección Técnica de Gestión Contractual hizo el envío de los reportes correspondiente a los meses de septiembre a noviembre de 2015, frente al seguimiento de la publicación de las fechas de inicio de los contratos, tanto en los portales de contratación como en el Sistema de Información SIAC.  La Oficina de Control Interno tomo una muestra y procedió a verificar la concordancia de la información reportada en el informe allegado por la DTGC, tanto con lo reportado en el Sistema de Contratación Estatal - SECOP y en el Sistema de Información de Acompañamiento Contractual - SIAC frente a las fechas de inicio y suscripción de los contratos. Teniendo en cuenta que se plantea una periodicidad mensual para la presentación de los informes y que el plazo final vence el 29 de enero de 2016, se efectuarán seguimientos posteriores.",30/03/16,en_progreso,,En Tiempo
34,34,"REPORTE A DICIEMBRE 31 DE 2015 ACCIÓN CUMPLIDA - LA ACCIÓN PERMANECE ABIERTA DADO QUE AUN NO SE CONSIGUE EL OBJETIVO FORMULADO.  Mediante oficio STEST 20153461159861 del 17 de junio de 2015, se remite a la ETB, requerimiento con el fin de que se agilice el proceso de recibo de los proyectos de Valorización 123 y 124.",30/03/16,terminado,,Parcial
