hallazgo_id,plan_id,auditor,name_hallazgo,capitulo,dependencia,descripcion,causa,efecto
1,1,ccrussis1,NUMERO DE SALIDAS POR CARGA DE OCUPACION,,STRF,"
NUMERO DE SALIDAS POR CARGA DE OCUPACION",Pocas salidas de evacuación con relación a la carga de ocupación de los espacios.,
2,2,pjbuitra1,Inconsistencia del concepto prima de navidad con corte al 31/12/2012 reportado por nómina en el sistema de información Kactus y lo contabilizado por STPC en el sistema de información Stone.,,STRT,Inconsistencia del concepto prima de navidad con corte al 31/12/2012 reportado por nómina en el sistema de información Kactus y lo contabilizado por STPC en el sistema de información Stone.,"Debido a que el proceso de contabilización de la nómina se hace manualmente y en momentos diferentes, de forma global se presentan diferencias de la información",
3,3,pcbaraja1,"Informe OCI que expresa: Buscar la trazabilidad de documentación. Contar con los instrumentos e instrucciones debidamente soportadas para poder evaluar en contexto, los contenidos de las matrices y el soporte brindado por la OAP",,OAP,"Informe OCI que expresa: Buscar la trazabilidad de documentación. Contar con los instrumentos e instrucciones debidamente soportadas para poder evaluar en contexto, los contenidos de las matrices y el soporte brindado por la OAP","Detalles de la metodología de riesgos de corrupción que no están contemplados en el manual de riesgos o por la normatividad actual. Se actualiza con: Al contar con dedicación exclusiva del profesional contratado para la adminsitración de riesgos en lo concerniente a la elaboración o actualización, socialización y publicación del contexto estratégico, matriz de riesgos de gestión, matriz de riesgos de corrupción y de los plnaes de tratamiento, conllevo a la no entrega oportuna del documento",
4,4,pfayalar1,"Revisar la utilización de materiales reciclados provenientes de los centros de tratamiento y/o aprovechamiento de RCD, toda vez que las posibilidades de usos de estos materiales dependerán del tipo de intervención a ser empleada y de priorización que establezca la Dirección Técnica de Proyectos dentro de su base de datos; si se opta por una alternativa que no requiera de mayor intervención para una vía, podría conllevar a la no utilización del material RCD producto de las intervenciones propias de un contrato.",,STMST,"Revisar la utilización de materiales reciclados provenientes de los centros de tratamiento y/o aprovechamiento de RCD, toda vez que las posibilidades de usos de estos materiales dependerán del tipo de intervención a ser empleada y de priorización que establezca la Dirección Técnica de Proyectos dentro de su base de datos; si se opta por una alternativa que no requiera de mayor intervención para una vía, podría conllevar a la no utilización del material RCD producto de las intervenciones propias de un contrato.",Los lineamientos de la DTP frente al tipo de intervencion que se debe realizar a causa del limitado presupuesto y las metas fisicas por cumplir. ,
5,4,pfayalar1,"Localidad de Bosa =Cl 53 Sur Con Cr 86C
Deficiencias observadas en la visita de obra de la OCI que deben ser subsanadas antes del recibo final de las obras.
Deficiencias en los acabados de la carpeta asfáltica. 
Hundimiento y fractura de la estructura que
soporta el sumidero. 
Hundimiento de pozo de inspeción.
Falta demarcación de la vía.
Localidad de Bosa =Cl 63 Sur entre Cr 77M y 78.
Deficiencias observadas en la visita de obra de la OCI, que deben ser subsanadas antes del recibo final de las obras.
Inadecuados remates de pozos de inspección.
Hundimiento y fractura de sumidero.Falta demarcación de la vía.",,STMST,"Localidad de Bosa =Cl 53 Sur Con Cr 86C
Deficiencias observadas en la visita de obra de la OCI que deben ser subsanadas antes del recibo final de las obras.
Deficiencias en los acabados de la carpeta asfáltica. 
Hundimiento y fractura de la estructura que
soporta el sumidero. 
Hundimiento de pozo de inspeción.
Falta demarcación de la vía.
Localidad de Bosa =Cl 63 Sur entre Cr 77M y 78.
Deficiencias observadas en la visita de obra de la OCI, que deben ser subsanadas antes del recibo final de las obras.
Inadecuados remates de pozos de inspección.
Hundimiento y fractura de sumidero.Falta demarcación de la vía.","Deficiente control de interventoria en la ejecución de las obras.
Presunta mala ejecución de actividades en el proceso constructivo por parte del contratista.
Presunta falencia en la calidad de los materiales.",
6,4,pfayalar1,"Localidad de Puente Aranda =Cl 37 entre Cr 50 y 52C.
Deficiencias observadas en la visita de obra de la OCI que deben ser subsanadas antes del recibo final de las obras.
Hundimiento y deficiencias en los remates del sumidero, asi como colmatación de una parte del mismo.
Deficiencias en los niveles de desague.Hundimiento de la calzada y apozamientos.Nucleos sin sellar.
Falta demarcación de la vía.",,STMST,"Localidad de Puente Aranda =Cl 37 entre Cr 50 y 52C.
Deficiencias observadas en la visita de obra de la OCI que deben ser subsanadas antes del recibo final de las obras.
Hundimiento y deficiencias en los remates del sumidero, asi como colmatación de una parte del mismo.
Deficiencias en los niveles de desague.Hundimiento de la calzada y apozamientos.Nucleos sin sellar.
Falta demarcación de la vía.","Deficiente control de interventoria en la ejecución de las obras.
Presunta mala ejecución de actividades en el proceso constructivo por parte del contratista.
Presunta falencia en la calidad de los materiales.",
7,4,pfayalar1,"Localidad de Antonio Nariño =Cr 18 Sur entre Cl  19 y 22.
Deficiencias observadas en la visita de obra de la OCI que deben ser subsanadas antes del recibo final de las obras.
Desague de uno de los predios sobre la vía construida.
Fisuramiento del anden producto de los trabajos ejecutados por maquinaria del contratista
Zona intervenida se encuentra inconclusa.
Falta demarcación de la vía.
Localidad de Engativa =Tv 76 entre  Dg 80 y 80 I 
Deficiencias observadas en la visita de obra de la OCI que deben ser subsanadas antes del recibo final de las obras.
Franja de calzada con deterioro prematuro de capa asfáltica.
Evidencia de marcas para ubicar la demarcación definitiva",,STMST,"Localidad de Antonio Nariño =Cr 18 Sur entre Cl  19 y 22.
Deficiencias observadas en la visita de obra de la OCI que deben ser subsanadas antes del recibo final de las obras.
Desague de uno de los predios sobre la vía construida.
Fisuramiento del anden producto de los trabajos ejecutados por maquinaria del contratista
Zona intervenida se encuentra inconclusa.
Falta demarcación de la vía.
Localidad de Engativa =Tv 76 entre  Dg 80 y 80 I 
Deficiencias observadas en la visita de obra de la OCI que deben ser subsanadas antes del recibo final de las obras.
Franja de calzada con deterioro prematuro de capa asfáltica.
Evidencia de marcas para ubicar la demarcación definitiva","Deficiente control de interventoria en la ejecución de las obras.
Presunta mala ejecución de actividades en el proceso constructivo por parte del contratista.
Presunta falencia en la calidad de los materiales.",
8,5,ccrussis1,IDU-40-2011 la no liquidación del contrato a la fecha,,DTD,IDU-40-2011 la no liquidación del contrato a la fecha,Pendiente Producto de Topografía con observaciones por parte del Instituto.,
9,5,ccrussis1,IDU-40-2011 la no liquidación del contrato a la fecha,,DTD,IDU-40-2011 la no liquidación del contrato a la fecha,Pendiente Producto de Redes Hidráulicas con observaciones por parte del Instituto.,
10,5,ccrussis1,IDU-40-2011 la no liquidación del contrato a la fecha,,DTD,IDU-40-2011 la no liquidación del contrato a la fecha,"Pendiente Producto de Estudio de Tránsito, Diseños de Señalización y PMT, con observaciones por parte del Instituto.",
