hallazgo_id,plan_id,auditor,name_hallazgo,capitulo,dependencia,descripcion,causa,efecto
1,1,ccrussis1,Aumentar los ni,,STRH,Aumentar los niveles de orden y aseo en las oficinas.,Falta de cultura en la GENTE IDU al organizar sus puestos de trabajo.,
2,1,ccrussis1,Riesgo de Incen,,STRF,Riesgo de Incendio: Sistema de red contra incendios ,Falta del sistema de red contra incendios ,
3,1,ccrussis1,Riesgo de Incen,,STRF,Riesgo de Incendio: Exposición de cables eléctricos. ,Exposición de cables eléctricos o que estén expuestos a la humedad.,
4,1,ccrussis1,Riesgo de incen,,STRF,Riesgo de incendio: Por falta de señalizar riesgos eléctricos,Carencia de avisos y señales informativas.,
5,1,ccrussis1,Riesgo de desca,,STRF,Riesgo de descarga eléctrica por identificación de zonas de contacto directo e indirecto (alta y baja tensión).,"Actividades eléctricas hechas por personal no capacitado. 
Personal no capacitado para la manipulación de espacios con riesgo eléctrico.",
6,1,ccrussis1,Riesgo por post,,STRF,Riesgo por posturas prolongadas en posición sedante en sillas de trabajo por el mal estado.,Mal estado de las sillas.,
7,1,ccrussis1,Riesgo por ilum,,STRF,Riesgo por iluminación deficiente y/o en exceso.,Mala distribución de luminarias en los  espacios de la entidad.,
8,1,ccrussis1,Riesgo caída de,,STRF,Riesgo caída de objetos: Almacenamiento de gabinetes con carga superior a la requerida. 2. Asegurar los elementos de posibles caídas.,1.Gabinetes con cargas superiores. 2. Gabinetes mal instalados.,
9,1,ccrussis1,Ruido en las ár,,STRF,Ruido en las áreas administrativas de sótanos. ,"Áreas ubicadas en zonas con exposición a altos niveles de ruido como  el que genera la planta eléctrica, vehículos, etc.",
10,1,ccrussis1,Riesgo por falt,,STRF,Riesgo por falta de señalización e iluminación. No se encuentran las señales debidamente instaladas y otras no se pueden observar claramente porque tienen obstáculos que no las dejan visualizar.,Señalización e iluminación deficiente que obstruyen la observación visual. ,
11,1,ccrussis1,"

NUMERO DE SAL",,STRF,"

NUMERO DE SALIDAS POR CARGA DE OCUPACION: ",Pocas salidas de evacuación con relación a la carga de ocupación de los espacios.,
12,1,ccrussis1,Protección de l,,STRF,"Protección de los medios de evacuación: corredores. Las divisiones que enmarcan la ruta de evacuación, son elementos no estructurales que están construidos en materiales combustibles, de lo cual, son focos con alto riesgo de incendio.",Divisiones de oficina construidas con material de fácil combustión.,
13,2,plleiva1,Grietas en los ,,STEST,Grietas en los muros de contención que encierran el predio (costado sur),Posiblre desplazamiento del muro por empuje horizontal del talud,
14,3,pjbuitra1,Inconsistencia ,,DTAF,Inconsistencia del concepto prima de navidad con corte al 31/12/2012 reportado por nómina en el sistema de información Kactus y lo contabilizado por STPC en el sistema de información Stone.,"Debido a que el proceso de contabilización de la nómina se hace manualmente y en momentos diferentes, de forma global se presentan diferencias de la información",
15,4,ccrussis1,Cinco mil dosci,,STOP,Cinco mil doscientos noventa y ocho (5298) radicados en bandeja de Entrada con vigencia superior a 180 días que figuran como pendientesde trámite. ,De acuerdo con la auditoría realizada por la Oficina de Control Interno se evidencio que existen 5.298 radicados en la bandeja de entrada,
16,5,pcbaraja1,Informe OCI que,,OAP,"Informe OCI que expresa: Buscar la trazabilidad de documentación. Contar con los instrumentos e instrucciones debidamente soportadas para poder evaluar en contexto, los contenidos de las matrices y el soporte brindado por la OAP","Detalles de la metodología de riesgos de corrupción que no están contemplados en el manual de riesgos o por la normatividad actual. Se actualiza con: Al contar con dedicación exclusiva del profesional contratado para la adminsitración de riesgos en lo concerniente a la elaboración o actualización, socialización y publicación del contexto estratégico, matriz de riesgos de gestión, matriz de riesgos de corrupción y de los plnaes de tratamiento, conllevo a la no entrega oportuna del documento",
17,6,peussaga1,"""Elaborar y ado",,DTGJ,"""Elaborar y adoptar el Reglamento Interno que rige el Comité de Conciliación, Defensa Judicial, Acción de Repetición y Prevención del Daño Antijurídico del Instituto de Desarrollo Urbano y remitir dicho reglamento a las entidades correspondientes""","Se asimilaba como Reglamento Interno lo descrito en la Resolución 22477 del  30 de mayo de 2014 ""Por la cuál se modifica y actualiza el sistema de coordinación interna del IDU"".   En la que en su Capitulo Cuarto Artículos 16,17,18 y 19, establece cuál es el objeto del Comité de Conciliaicón, las Funciones, la Composición, las cesiones y decisiones del mismo. ",
18,7,pfayalar1,Revisar la util,,DTM,"Revisar la utilización de materiales reciclados provenientes de los centros de tratamiento y/o aprovechamiento de RCD, toda vez que las posibilidades de usos de estos materiales dependerán del tipo de intervención a ser empleada y de priorización que establezca la Dirección Técnica de Proyectos dentro de su base de datos; si se opta por una alternativa que no requiera de mayor intervención para una vía, podría conllevar a la no utilización del material RCD producto de las intervenciones propias de un contrato.",-Los lineamientos de la DTP frente al tipo de intervencion que se debe realizar a causa del limitado presupuesto y las metas fisicas por cumplir. ,
19,7,pfayalar1,Localidad de Bo,,DTM,"Localidad de Bosa =Cl 53 Sur Con Cr 86C
Deficiencias observadas en la visita de obra de la OCI, que deben ser subsanadas antes del recibo final de las obras.
Deficiencias en los acabados de la carpeta asfáltica. 
Hundimeinto y fractura de la estructura que
soporta el sumidero. 
Hundimeinto de pozo de inspeción.
Falta demarcación de la vía.

Localidad de Bosa =Cl 63 Sur entre Cr 77M y 78.
Deficiencias observadas en la visita de obra de la OCI, que deben ser subsanadas antes del recibo final de las obras.
Inadecuados remates de pozos de inspección.
Hundimiento y fractura de sumidero.Falta demarcación de la vía.","""-Deficiente control de interventoria en la ejecución de las obras.
-Presunta mala ejecución de actividades en el proceso constructivo por parte del contratista.
-Presunta falencia en la calidad de los materiales. ",
20,7,pfayalar1,Localidad de Pu,,DTM,"Localidad de Puente Aranda =Cl 37 entre Cr 50 y 52C.
Deficiencias observadas en la visita de obra de la OCI, que deben ser subsanadas antes del recibo final de las obras.
Hundimiento y deficiencias en los remates del sumidero, asi como colmatación de una parte del mismo.
Deficiencias en los niveles de desague.Hundimiento de la calzada y apozamientos.Nucleos sin sellar.
Falta demarcación de la vía.","""-Deficiente control de interventoria en la ejecución de las obras.
-Presunta mala ejecución de actividades en el proceso constructivo por parte del contratista.
-Presunta falencia en la calidad de los materiales. ",
21,7,pfayalar1,Localidad de An,,DTM,"Localidad de Antonio Nariño =Cr 18 Sur entre Cl  19 y 22.
Deficiencias observadas en la visita de obra de la OCI, que deben ser subsanadas antes del recibo final de las obras.
Desague de uno de los predios sobre la vía construida.
Fisuramiento del anden producto de los trabajos ejecutados por maquinaria del contratista
Zona intervenida se encuentra inconclusa.
Falta demarcación de la vía.

Localidad de Engativa =Tv 76 entre  Dg 80 y 80 I 
Deficiencias observadas en la visita de obra de la OCI, que deben ser subsanadas antes del recibo final de las obras.
Franja de calzada con deterioro prematuro de capa asfáltica.
Evidencia de marcas para ubicar la demarcación definitiva","""-Deficiente control de interventoria en la ejecución de las obras.
-Presunta mala ejecución de actividades en el proceso constructivo por parte del contratista.
-Presunta falencia en la calidad de los materiales. ",
22,8,ccrussis1,IDU-38-2011 la ,,DTD,IDU-38-2011 la no liquidación del contrato a la fecha,Pendiente aprobación del  producto presupuesto y APUs con observaciones por parte del Instituto.,
23,8,ccrussis1,IDU-40-2011 la ,,DTD,IDU-40-2011 la no liquidación del contrato a la fecha,"Pendiente Producto de Topografía con observaciones por parte del Instituto.
Pendiente Producto de Redes Hidráulicas con observaciones por parte del Instituto.
Pendiente Producto de Estudio de Tránsito, Diseños de Señalización y PMT, con observaciones por parte del Instituto.
Pendiente Producto Consolidado de Gestión Social y reuniones de finalización, con observaciones por parte del Instituto.
Pendiente Producto de Geotecnia, con observaciones por parte del Instituto.
Pendiente Producto de Estructuras, con observaciones por parte del Instituto.
Pendiente producto presupuesto y APUs con observaciones por parte del Instituto.
Pendiente producto especificaciones técnicas de construcción con observaciones por parte del Instituto.
Pendiente programación de obra por parte del consultor.
Pendiente documentos técnicos para pliegos por parte del consultor.
Pendiente permiso tratamientos a la vegetación por parte de la Secreatria Distrital de Ambiente
Pendiente trámite de cesión de derechos de autor.
Pendiente los planos definitivos en formato SCAD GIS por parte del consultor.
Pendiente informe ejecutivo por parte del consultor.",
24,8,ccrussis1,"IDU-103-2009, L",,DTD,"IDU-103-2009, La no liquidación del contrato a la fecha",No se cuenta con el acta de liquidación,
25,8,ccrussis1,La no liquidaci,,DTD,La no liquidación del contrato IDU-028-2011,"Pendiente aprobación por parte de la EAB de los Estudios Geotecnicos - Diseño de Cimentación para tuberías y estabilidad de Excavaciones, diseños de redes de Acueducto y redes de alcantarillado
Pendiente asignación número de Proyecto de las redes húmedas por parte de la EAAB
Pendiente Estudio de Tránsito y Transporte, diseño de semaforización y diseño de señalización
Pendiente Aprobación Presupuesto y Precios unitarios",
26,9,ccherrer1,Iniciar con ant,,DTDP,"Iniciar con anticipación la gestión para la contratación de los servicios de vigilancia y mantenimiento, limpieza y demolición, con el fin de mantener los contratos vigentes en forma peramente","1. Para los contratos de vigilancia y demolición, limpieza y mantenimiento en el  2014 no se contaba con la disponibilidad de los recursos para iniciar los procesos contractuales
2. Asignación de recursos hasta julio 2014.
3. Demoras en la gestión precontractual.
 ",
27,9,ccherrer1,Evaluar la posi,,DTDP,"Evaluar la posibilidad de ceder a espacio publico los predios sobrantes catalogados como no desarrollables y que colindan como espacio publico, una vez agotadas todas las instancias para la realización de la venta, con el fin de evitar los costos de vigilancia y mantenimiento.","En la Auditoria se encontraron varios sobrantes de predios que colindan con espacio publico (troncal suba), los cuales por estar catalogados como no desarrollables, su venta puede ser demorada o pueden permanecer por tiempo indeterminado en poder del IDU",
28,9,ccherrer1,Mantener un reg,,DTDP,Mantener un registro extracontable para poder contar con la identificación de los predios tanto en el inventario físico de los mismos como en los registros contables del Instituto contenidos en el aplicativo STONE Modulo de Gestión Financiera -  Contabilidad ,"Se presento dificultad en la revisión de los registros contables de compra y/o adquisición de algunos predios, toda vez que en la contabilidad únicamente están plenamente identificados los correspondientes a los sobrantes.",
29,10,cldiazra1,EVALUAR LA FORM,,DTAF,"EVALUAR LA FORMA DE FORTALECER LOS CONTROLES Y/O CAMBIAR EL ESTATUS DE LA CALIFICACIÓN Y/O NIVEL DE RIESGO RESIDUAL A LOS RIESGOS CON CÓDIGO R.RF.08 (QUE SE PRESENTE DETERIORO Y DAÑOS EN LA INFORMACIÓN) Y R.RF.09 (QUE SE PRESENTE PÉRDIDA DE LA INFORMACIÓN) PLASMADOS EN LA MATRIZ DE RIESGOS DEL INSTITUTO DE DESARROLLO URBANO, CON EL FIN DE MITIGAR LA MATERIALIZACIÓN DE LOS MISMOS Y GESTIONAR ADECUADAMENTE LA DOCUMENTACIÓN","1.Infraestructura deficiente
2.Asignación de recursos insuficientes para la adecuación del área de archivo
3.Falta de competencia en el personal vinculado al proceso de gestión documental
4.Cumplimiento parcial  al marco normativo de gestión documental
5. Matriz de riesgo desactualizada",
30,10,cldiazra1,EVALUAR LA FORM,,DTAF,"EVALUAR LA FORMA DE CENTRALIZAR LA DOCUMENTACIÓN DEL INSTITUTO DE DESARROLLO URBANO EN UN SOLO LUGAR, QUE ADEMÁS CUMPLA CON LAS CONDICIONES FÍSICAS Y AMBIENTALES ESTABLECIDAS EN LA NORMATIVIDAD LEGAL VIGENTE EMITIDA POR EL ARCHIVO GENERAL DE LA NACIÓN Y POR EL ARCHIVO DISTRITAL DE BOGOTA. LO ANTERIOR CON EL FIN DE GARANTIZAR LA CONSERVACIÓN, PRESERVACIÓN Y CUSTODIA DE LOS DOCUMENTOS DE FORMA ADECUADA, ASÍ COMO LA SEGURIDAD DE LOS MISMOS, PARA EVITAR EL DETERIORO Y/O PÉRDIDA POR FALTA DE CONTROL Y PROTEGER LA SEGURIDAD Y SALUD EN EL TRABAJO TANTO DE FUNCIONARIOS COMO DE CONTRATISTA QUE PERMANENECEN EN DICHAS ÁREAS",1. Infraestructura deficiente,
31,10,cldiazra1,SENSIBILIZAR AL,,DTAF,"SENSIBILIZAR AL PERSONAL QUE DESARROLLA ACTIVIDADES PROPIAS DEL PROCESO EN TODAS LAS SEDES, ACERCA DE LA IMPORTANCIA DE EVITAR EL CONSUMO DE ALIMENTOS Y BEBIDAS DENTRO DE LAS ÁREAS DE ALMACENAMIENTO Y AQUELLAS EN DONDE SE MANIPULAN DOCUMENTOS, ASÍ COMO DEL ADECUADO USO DE ELEMENTOS DE PROTECCIÓN PERSONAL, CON EL FIN DE MINIMIZAR LOS RIESGOS DERIVADOS DE TALES ACTIVIDADES, DEBIDO AL ALTO GRADO DE CONTAMINACIÓN EN EL AMBIENTE POR BACTERIAS Y ÁCAROS, TAL  COMO LO DEMANDA LA LEY 1295 DE 1994 CAPITULO I, ARTÍCULO 2, LITERAL A Y LA CIRCULAR 001 DE 2003 DEL MINISTERIO DE LA PROTECCIÓN SOCIAL.","1. Asignación de recursos insuficientes para el suministros de elementos de protección en salud ocupacional 

2. Cumplimiento parcial  al marco normativo de gestión documental

3. Falta de concientización del personal sobre consumo de alimentos, aseo, uso de elementos de protección.
    
4. Exposición de personal y documentos a gases emitidos por los vehículos",
32,10,cldiazra1,GESTIONAR Y OPT,,DTAF,"GESTIONAR Y OPTIMIZAR LOS RECURSOS ASIGNADOS DE FORMA TAL QUE: SE DÉ ADECUADO USO DE LAS CAJAS, SE MEJORE EL ORDEN EN GENERAL DE LAS INSTALACIONES DE CALLE 22, DE LA CASITA Y DE CALLE 20, SE CONTROLE PERMANENTE Y ADECUADAMENTE LOS INSUMOS Y ELEMENTOS DE TRABAJO, ASÍ COMO DESPEJAR NO SOLO LAS ÁREAS DE ALMACENAMIENTO DE CAJAS Y EXTINTORES SINO TAMBIÉN LAS ÁREAS DE INSUMOS. LO ANTERIOR, CON EL FIN DE MINIMIZAR LA CONTAMINACIÓN VISUAL PARA MITIGAR EL STRESS PSICOLABORAL, ECONOMIZAR EL CONSUMO DE CAJAS Y MEJORAR EL AMBIENTE LABORAL.","1. Asignación de recursos insuficientes para la adecuación del área de archivo

2. Cumplimiento parcial  al marco normativo de gestión documental

3. Falta de concientización de los funcionarios del IDU en cuanto al uso adecuado de los insumos de archivo

4. Falta de seguimiento y control a los insumos de archivo entregados a los funcionarios del IDU",
